title,price,square_meters,rooms,interior_state,postal_code,neighborhood,url,unique_id
For rent: Flat Eendrachtsweg in Rotterdam,1850,50,1,Furnished,3012 LG,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/049e804f/eendrachtsweg,1850-3012 LG-50
For rent: Flat Van Vollenhovenstraat 3 703 in Rotterdam,1775,52,2,Furnished,3016 BE,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/cca5c1fe/van-vollenhovenstraat,1775-3016 BE-52
For rent: Flat Bergselaan in Rotterdam,1495,103,3,Upholstered,3038 CN,Bergpolder,https://www.pararius.com/apartment-for-rent/rotterdam/a81ff8e0/bergselaan,1495-3038 CN-103
For rent: Flat Van Beethovensingel 140 in Rotterdam,2200,89,3,Upholstered,3055 JM,Molenlaankwartier,https://www.pararius.com/apartment-for-rent/rotterdam/c6270a7c/van-beethovensingel,2200-3055 JM-89
For rent: House Hommelstraat in Rotterdam,2800,128,4,Furnished,3061 VA,Kralingen West,https://www.pararius.com/house-for-rent/rotterdam/7ba3982b/hommelstraat,2800-3061 VA-128
For rent: Flat Molenvliet in Rotterdam,2095,100,4,Furnished,3076 CL,Lombardijen,https://www.pararius.com/apartment-for-rent/rotterdam/cb221eef/molenvliet,2095-3076 CL-100
For rent: Flat Berberisweg 416 in Rotterdam,1903,108,4,,3053 PL,Schiebroek,https://www.pararius.com/apartment-for-rent/rotterdam/52b16784/berberisweg,1903-3053 PL-108
For rent: Flat Binnenrotte in Rotterdam,2850,130,3,Furnished,3011 HC,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/82ebccaa/binnenrotte,2850-3011 HC-130
For rent: Flat Van Vollenhovenstraat in Rotterdam,1138,50,2,Upholstered,3016 BG,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/05cc7c42/van-vollenhovenstraat,1138-3016 BG-50
For rent: House Eigelhorst in Rotterdam,2550,133,5,Upholstered or furnished,3085 VE,Zuidwijk,https://www.pararius.com/house-for-rent/rotterdam/37933462/eigelhorst,2550-3085 VE-133
For rent: Flat Saffierstraat in Rotterdam,1950,85,3,,3051 XV,Hillegersberg Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/e0aba882/saffierstraat,1950-3051 XV-85
For rent: Flat Boompjes in Rotterdam,2000,80,1,Furnished,3011 XZ,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/ba2d840c/boompjes,2000-3011 XZ-80
For rent: Flat Stationssingel in Rotterdam,1995,38,2,Furnished,3033 HA,Provenierswijk,https://www.pararius.com/apartment-for-rent/rotterdam/95e043db/stationssingel,1995-3033 HA-38
For rent: Flat Jan Evertsenplaats in Rotterdam,2695,95,3,Furnished,3012 HN,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/bff3f5f5/jan-evertsenplaats,2695-3012 HN-95
For rent: Flat Haringvliet in Rotterdam,1550,55,2,Furnished,3011 TG,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/8f2ba34c/haringvliet,1550-3011 TG-55
For rent: Flat Nieuwe Binnenweg in Rotterdam,2175,75,3,Upholstered,3015 BG,Oude Westen,https://www.pararius.com/apartment-for-rent/rotterdam/4c11d2a1/nieuwe-binnenweg,2175-3015 BG-75
For rent: Flat Schiehavenkade in Rotterdam,2950,136,3,Furnished,3024 EZ,Schiemond,https://www.pararius.com/apartment-for-rent/rotterdam/bd6b6067/schiehavenkade,2950-3024 EZ-136
For rent: Flat Bergweg in Rotterdam,2485,75,3,Upholstered,3036 BH,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/533db0d8/bergweg,2485-3036 BH-75
For rent: Flat Westersingel in Rotterdam,1575,63,2,Furnished,3014 GM,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/83871c4d/westersingel,1575-3014 GM-63
For rent: Flat Berberisweg 434 D in Rotterdam,1678,90,3,,3053 PL,Schiebroek,https://www.pararius.com/apartment-for-rent/rotterdam/51dfcc4c/berberisweg,1678-3053 PL-90
For rent: Flat Kapelstraat 93 in Rotterdam,1595,109,3,Upholstered,3024 CH,Delfshaven,https://www.pararius.com/apartment-for-rent/rotterdam/f855e94f/kapelstraat,1595-3024 CH-109
For rent: Flat Gedempte Zalmhaven in Rotterdam,3300,90,3,Furnished,3016 DT,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/a3e3d002/gedempte-zalmhaven,3300-3016 DT-90
For rent: Flat Maashaven N.z. in Rotterdam,2650,99,3,Upholstered,3072 AE,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/74c67756/maashaven-n-z,2650-3072 AE-99
For rent: Flat Statenweg 141 A in Rotterdam,1795,126,4,,3039 HL,Blijdorp,https://www.pararius.com/apartment-for-rent/rotterdam/2c5393de/statenweg,1795-3039 HL-126
For rent: House Beukelsdijk in Rotterdam,2050,81,2,Upholstered,3021 AJ,Middelland,https://www.pararius.com/house-for-rent/rotterdam/777b3b31/beukelsdijk,2050-3021 AJ-81
For rent: Flat Rodenrijselaan in Rotterdam,690,61,3,Upholstered,3037 XG,Liskwartier,https://www.pararius.com/apartment-for-rent/rotterdam/49be19da/rodenrijselaan,690-3037 XG-61
For rent: Flat Churchillplein 80 in Rotterdam,2250,96,3,Upholstered or furnished,3011 EW,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/8f6cc467/churchillplein,2250-3011 EW-96
For rent: Flat Soetendaalseweg in Rotterdam,2250,101,4,Upholstered,3036 ET,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/8c01f69b/soetendaalseweg,2250-3036 ET-101
For rent: Flat Noordsingel in Rotterdam,1030,70,2,Shell,3032 BH,Agniesebuurt,https://www.pararius.com/apartment-for-rent/rotterdam/41c1b73b/noordsingel,1030-3032 BH-70
For rent: Flat Rijnhavenkade 34 in Rotterdam,3000,84,3,Furnished,3072 JS,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/b4295ed8/rijnhavenkade,3000-3072 JS-84
For rent: Flat Dunantstraat in Rotterdam,1100,122,3,Upholstered,3024 BC,Delfshaven,https://www.pararius.com/apartment-for-rent/rotterdam/476588a3/dunantstraat,1100-3024 BC-122
For rent: Flat 1e Jerichostraat in Rotterdam,715,42,1,Upholstered,3061 GK,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/3808afe5/1e-jerichostraat,715-3061 GK-42
For rent: Flat Walenburgerweg in Rotterdam,1850,108,3,Upholstered,3033 AK,Provenierswijk,https://www.pararius.com/apartment-for-rent/rotterdam/ca5faff1/walenburgerweg,1850-3033 AK-108
For rent: Flat Polanenstraat in Rotterdam,1309,86,2,Furnished,3062 KB,Kralingen Oost,https://www.pararius.com/apartment-for-rent/rotterdam/7c69d121/polanenstraat,1309-3062 KB-86
For rent: Flat Graaf Balderikstraat 102 in Rotterdam,1481,52,2,Furnished,3032 HC,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/c9a5f5b8/graaf-balderikstraat,1481-3032 HC-52
For rent: Flat Baan 40 L in Rotterdam,1995,77,3,Upholstered,3011 CC,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/3f304378/baan,1995-3011 CC-77
For rent: Flat 1e Jerichostraat in Rotterdam,640,42,2,Upholstered,3061 GK,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/dafdfefb/1e-jerichostraat,640-3061 GK-42
For rent: Flat Graaf Balderikstraat in Rotterdam,1425,52,2,Furnished,3032 HC,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/73aede93/graaf-balderikstraat,1425-3032 HC-52
For rent: House Hooidrift in Rotterdam,2600,145,4,Furnished,3023 KG,Nieuwe Westen,https://www.pararius.com/house-for-rent/rotterdam/e300d16b/hooidrift,2600-3023 KG-145
For rent: Flat Spoorsingel in Rotterdam,1495,63,2,Furnished,3033 GP,Provenierswijk,https://www.pararius.com/apartment-for-rent/rotterdam/eb25789f/spoorsingel,1495-3033 GP-63
For rent: Flat Westerstraat 20 N in Rotterdam,2350,80,3,Furnished,3016 DH,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/e4827333/westerstraat,2350-3016 DH-80
For rent: Flat Van Oldenbarneveltplaats in Rotterdam,1725,89,3,Upholstered,3012 AJ,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/5d95f71d/van-oldenbarneveltplaats,1725-3012 AJ-89
For rent: Flat Groene Hilledijk in Rotterdam,1883,92,5,Upholstered,3073 AB,Bloemhof,https://www.pararius.com/apartment-for-rent/rotterdam/2e951041/groene-hilledijk,1883-3073 AB-92
For rent: Flat Vierambachtsstraat 28 A-01 in Rotterdam,1650,69,3,Shell,3023 AN,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/b790c821/vierambachtsstraat,1650-3023 AN-69
For rent: Flat Schapendreef in Rotterdam,1650,74,3,,3034 ZL,Oud Crooswijk,https://www.pararius.com/apartment-for-rent/rotterdam/c8524665/schapendreef,1650-3034 ZL-74
For rent: Flat Kasteelweg in Rotterdam,1175,32,2,Furnished,3077 BN,Oud IJsselmonde,https://www.pararius.com/apartment-for-rent/rotterdam/df6420e6/kasteelweg,1175-3077 BN-32
For rent: Flat Burgemeester Meineszlaan in Rotterdam,1400,138,3,Upholstered,3022 BJ,Nieuwe Westen,https://www.pararius.com/apartment-for-rent/rotterdam/59c214ce/burgemeester-meineszlaan,1400-3022 BJ-138
For rent: Flat Jan Pettersonstraat in Rotterdam,2250,90,3,Furnished,3077 MN,Oud IJsselmonde,https://www.pararius.com/apartment-for-rent/rotterdam/4f70bfea/jan-pettersonstraat,2250-3077 MN-90
For rent: Flat Rijnhavenkade in Rotterdam,2995,82,2,Furnished,3072 JS,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/7242e3dd/rijnhavenkade,2995-3072 JS-82
For rent: House Molenlaan 41 in Rotterdam,4000,172,6,Furnished,3055 EG,Molenlaankwartier,https://www.pararius.com/house-for-rent/rotterdam/5eb9daef/molenlaan,4000-3055 EG-172
For rent: Flat Mauritsstraat in Rotterdam,1250,24,2,Upholstered,3012 CH,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/3083a59a/mauritsstraat,1250-3012 CH-24
For rent: Flat Nieuwe Binnenweg in Rotterdam,1845,66,2,Furnished,3014 GD,Oude Westen,https://www.pararius.com/apartment-for-rent/rotterdam/867a756a/nieuwe-binnenweg,1845-3014 GD-66
For rent: Flat Karl Weisbardstraat in Rotterdam,3220,80,3,Furnished,3015 GM,Dijkzigt,https://www.pararius.com/apartment-for-rent/rotterdam/2d5c4377/karl-weisbardstraat,3220-3015 GM-80
For rent: Flat Binnenrotte in Rotterdam,2750,92,3,Furnished,3011 HC,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/d3e103f0/binnenrotte,2750-3011 HC-92
For rent: Flat Lusthofstraat in Rotterdam,1895,60,3,Furnished,3061 WJ,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/2ee7d024/lusthofstraat,1895-3061 WJ-60
For rent: Flat Handelsplein 107 in Rotterdam,1975,110,2,Furnished,3071 PR,Kop van Zuid - Entrepot,https://www.pararius.com/apartment-for-rent/rotterdam/8ea62b0b/handelsplein,1975-3071 PR-110
For rent: Flat Scheepstimmermanslaan 27 D in Rotterdam,1850,62,2,Upholstered,3016 AD,Nieuwe Werk,https://www.pararius.com/apartment-for-rent/rotterdam/2b2e3214/scheepstimmermanslaan,1850-3016 AD-62
For rent: Flat Noordmolenstraat in Rotterdam,1850,60,2,Furnished,3035 RD,Oude Noorden,https://www.pararius.com/apartment-for-rent/rotterdam/0f50dd46/noordmolenstraat,1850-3035 RD-60
For rent: Flat Statenlaan in Rotterdam,1395,66,2,,3051 HN,Hillegersberg Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/710a6bf7/statenlaan,1395-3051 HN-66
For rent: House Lijsterlaan 35 in Rotterdam,2850,135,6,Upholstered,3055 CD,Molenlaankwartier,https://www.pararius.com/house-for-rent/rotterdam/03cb1ed2/lijsterlaan,2850-3055 CD-135
For rent: Flat Rijnhavenkade in Rotterdam,2950,87,3,,3072 JS,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/53c21b03/rijnhavenkade,2950-3072 JS-87
For rent: Flat Narcissenstraat in Rotterdam,1525,55,2,Upholstered,3073 CL,Bloemhof,https://www.pararius.com/apartment-for-rent/rotterdam/76586f5c/narcissenstraat,1525-3073 CL-55
For rent: Flat Nico Koomanskade in Rotterdam,3499,124,4,Furnished,3072 LM,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/29b30700/nico-koomanskade,3499-3072 LM-124
For rent: Flat Weena in Rotterdam,2525,90,3,Furnished,3013 CE,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/34d864f9/weena,2525-3013 CE-90
For rent: Flat Claes de Vrieselaan in Rotterdam,2950,110,3,Furnished,3021 JE,Middelland,https://www.pararius.com/apartment-for-rent/rotterdam/0c6262ad/claes-de-vrieselaan,2950-3021 JE-110
For rent: Flat Proveniersstraat in Rotterdam,2395,120,3,Shell,3033 CM,Provenierswijk,https://www.pararius.com/apartment-for-rent/rotterdam/41874520/proveniersstraat,2395-3033 CM-120
For rent: Flat Baan 42 K in Rotterdam,2095,83,2,Upholstered,3011 CC,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/baa955c0/baan,2095-3011 CC-83
For rent: Flat Kruisplein in Rotterdam,2495,110,3,Furnished,3012 CC,Cool,https://www.pararius.com/apartment-for-rent/rotterdam/726e11b5/kruisplein,2495-3012 CC-110
For rent: Flat Borgesiusstraat in Rotterdam,995,71,2,Shell,3038 TD,Bergpolder,https://www.pararius.com/apartment-for-rent/rotterdam/1b2b484e/borgesiusstraat,995-3038 TD-71
For rent: Flat Nolensstraat 29 A in Rotterdam,2250,91,4,Furnished,3039 PL,Blijdorp,https://www.pararius.com/apartment-for-rent/rotterdam/27d9c3f0/nolensstraat,2250-3039 PL-91
For rent: Flat Wilhelminakade in Rotterdam,2250,76,2,Furnished,3072 AP,Kop van Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/c7d5a8d0/wilhelminakade,2250-3072 AP-76
For rent: Flat Statenweg in Rotterdam,1950,120,4,Upholstered,3039 JN,Blijdorp,https://www.pararius.com/apartment-for-rent/rotterdam/735686bd/statenweg,1950-3039 JN-120
For rent: Flat Bundweg 77 in Rotterdam,2505,128,3,Upholstered,3072 JX,Katendrecht,https://www.pararius.com/apartment-for-rent/rotterdam/66ab2a2d/bundweg,2505-3072 JX-128
For rent: Flat Hoogstraat 20 B in Rotterdam,2250,70,3,Furnished,3011 PP,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/698b9ca8/hoogstraat,2250-3011 PP-70
For rent: Flat Adriaen van der Doeslaan in Rotterdam,536,23,1,,3054 EB,Hillegersberg Noord,https://www.pararius.com/apartment-for-rent/rotterdam/549d6160/adriaen-van-der-doeslaan,536-3054 EB-23
For rent: Flat Doggerstraat 7 C in Rotterdam,1501,85,5,Upholstered,3028 HK,Oud Mathenesse,https://www.pararius.com/apartment-for-rent/rotterdam/34590654/doggerstraat,1501-3028 HK-85
For rent: Flat Eric Kropstraat in Rotterdam,3500,140,3,Furnished,3071 AE,Kop van Zuid - Entrepot,https://www.pararius.com/apartment-for-rent/rotterdam/1debd1b6/eric-kropstraat,3500-3071 AE-140
For rent: Flat Mijnsherenlaan in Rotterdam,528,15,1,Shell,3081 GS,Tarwewijk,https://www.pararius.com/apartment-for-rent/rotterdam/9d63c704/mijnsherenlaan,528-3081 GS-15
For rent: Flat Willem van Hillegaersbergstraat in Rotterdam,2900,120,3,Furnished,3051 RP,Hillegersberg Zuid,https://www.pararius.com/apartment-for-rent/rotterdam/d2eb9321/willem-van-hillegaersbergstraat,2900-3051 RP-120
For rent: Flat Specerijenhof 27 in Rotterdam,1950,92,3,Furnished,3063 BX,Struisenburg,https://www.pararius.com/apartment-for-rent/rotterdam/f61fa0ec/specerijenhof,1950-3063 BX-92
For rent: Flat Mijnsherenlaan in Rotterdam,471,11,1,Shell,3081 GS,Tarwewijk,https://www.pararius.com/apartment-for-rent/rotterdam/69d819e9/mijnsherenlaan,471-3081 GS-11
For rent: Flat Mijnsherenlaan in Rotterdam,581,15,1,Shell,3081 GS,Tarwewijk,https://www.pararius.com/apartment-for-rent/rotterdam/8a615cee/mijnsherenlaan,581-3081 GS-15
For rent: Flat Prins Frederikplein in Rotterdam,1895,84,3,Upholstered,3071 KS,Noordereiland,https://www.pararius.com/apartment-for-rent/rotterdam/19210d46/prins-frederikplein,1895-3071 KS-84
For rent: Flat Adriaan Kooningsstraat in Rotterdam,2750,118,3,Furnished,3077 ML,Oud IJsselmonde,https://www.pararius.com/apartment-for-rent/rotterdam/80293a36/adriaan-kooningsstraat,2750-3077 ML-118
For rent: Flat Vorkstraat in Rotterdam,1750,84,3,Furnished,3075 NT,Vreewijk,https://www.pararius.com/apartment-for-rent/rotterdam/1e80fdea/vorkstraat,1750-3075 NT-84
For rent: Flat Noordsingel 162 A 01 in Rotterdam,2500,138,4,Furnished,3032 BK,Agniesebuurt,https://www.pararius.com/apartment-for-rent/rotterdam/695bf8d9/noordsingel,2500-3032 BK-138
For rent: Flat Slaak in Rotterdam,1995,100,4,Furnished,3061 CZ,Kralingen West,https://www.pararius.com/apartment-for-rent/rotterdam/48004def/slaak,1995-3061 CZ-100
For rent: Flat Schepenstraat in Rotterdam,2150,112,4,Upholstered,3039 NP,Blijdorp,https://www.pararius.com/apartment-for-rent/rotterdam/6e73d5b0/schepenstraat,2150-3039 NP-112
For rent: Flat Schieweg in Rotterdam,1995,87,3,Upholstered,3038 AC,Bergpolder,https://www.pararius.com/apartment-for-rent/rotterdam/b4a8cc29/schieweg,1995-3038 AC-87
For rent: Flat Dorpsweg 104 B in Rotterdam,2295,88,5,Furnished,3083 LG,Carnisse,https://www.pararius.com/apartment-for-rent/rotterdam/4f371113/dorpsweg,2295-3083 LG-88
For rent: Flat Grotekerkplein in Rotterdam,1495,33,2,Upholstered,3011 GD,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/bb5f2fb4/grotekerkplein,1495-3011 GD-33
For rent: Flat Scheepmakerspassage in Rotterdam,2500,84,3,Upholstered or furnished,3011 VH,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/82f0f1b1/scheepmakerspassage,2500-3011 VH-84
For rent: Flat Ploegstraat in Rotterdam,1995,78,4,Furnished,3075 NG,Vreewijk,https://www.pararius.com/apartment-for-rent/rotterdam/860d33d8/ploegstraat,1995-3075 NG-78
For rent: Flat Schapendreef in Rotterdam,1159,74,3,Furnished,3034 ZL,Oud Crooswijk,https://www.pararius.com/apartment-for-rent/rotterdam/64202b0e/schapendreef,1159-3034 ZL-74
For rent: Room Hogenbanweg in Rotterdam,550,18,4,Furnished,3028 GM,Oud Mathenesse,https://www.pararius.com/room-for-rent/rotterdam/bc93c180/hogenbanweg,550-3028 GM-18
For rent: Flat Bonaventurastraat in Rotterdam,1068,100,4,Furnished,3081 HJ,Tarwewijk,https://www.pararius.com/apartment-for-rent/rotterdam/6fdbcb65/bonaventurastraat,1068-3081 HJ-100
For rent: Flat West-Varkenoordseweg in Rotterdam,581,19,1,Shell,3074 HW,Hillesluis,https://www.pararius.com/apartment-for-rent/rotterdam/576b0014/west-varkenoordseweg,581-3074 HW-19
For rent: Flat Weena in Rotterdam,2750,85,3,Furnished,3013 CE,Stadsdriehoek,https://www.pararius.com/apartment-for-rent/rotterdam/2b496b36/weena,2750-3013 CE-85
For rent: Flat Joost van Geelstraat in Rotterdam,750,37,2,Upholstered,3021 VP,Middelland,https://www.pararius.com/apartment-for-rent/rotterdam/0ee7d6d9/joost-van-geelstraat,750-3021 VP-37
For rent: House Teldersweg 106 in Rotterdam,2050,120,5,,3052 TL,Schiebroek,https://www.pararius.com/house-for-rent/rotterdam/49e64d1c/teldersweg,2050-3052 TL-120
For rent: Flat Westzeedijk 509 G in Rotterdam,1755,80,3,,3024 EL,Delfshaven,https://www.pararius.com/apartment-for-rent/rotterdam/ca120e6c/westzeedijk,1755-3024 EL-80
For rent: Flat Argonautenweg in Rotterdam,2650,95,3,Furnished,3054 RP,Hillegersberg Noord,https://www.pararius.com/apartment-for-rent/rotterdam/f56e4143/argonautenweg,2650-3054 RP-95
